horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
33 days,220.74039775462512,14.857334813304341,10.404045175385754,0.19457422940867386,0.09679320393253718,0.16989968173160921,0.4173650687227623,33,2024-08-03
34 days,220.6165090152524,14.853164949439309,10.38280414240236,0.19645242263572538,0.09679320393253718,0.17057663721925242,0.42914693233164575,34,2024-08-04
35 days,225.83273323879627,15.027732138908927,10.53673759136736,0.20067140775435846,0.09850908698654263,0.17435089389655242,0.42462845010615713,35,2024-08-05
36 days,229.3372687986012,15.143885525141862,10.647605053936038,0.2032006548734104,0.09854449674350531,0.17624940540187575,0.42076324241929336,36,2024-08-06
37 days,235.89462712268312,15.35886151779106,10.8248709082527,0.20914588219143537,0.10433877364920464,0.17966777031774778,0.4189853614929042,37,2024-08-07
38 days,246.08949532463728,15.687239888668666,11.106204727760728,0.2169646685774433,0.10627237566399327,0.18557775232216672,0.4107721533132193,38,2024-08-08
39 days,249.33169185186037,15.790240398798884,11.236032021087482,0.21525725266318868,0.107229493518329,0.1871373941072212,0.4128695084109097,39,2024-08-09
40 days,242.41407101115306,15.569652244387253,11.1091266709373,0.202836793023421,0.107229493518329,0.1832960618692314,0.40887249972063916,40,2024-08-10
41 days,240.00714084699283,15.492163852961045,11.0852553302725,0.1994568263831991,0.10600181457530679,0.1828018505669229,0.417515923566879,41,2024-08-11
42 days,244.2598905615845,15.6288160319835,11.243902830972717,0.19926658599201488,0.10855874160072676,0.18602259497108042,0.412379552506941,42,2024-08-12
43 days,246.48015086559457,15.69968633016579,11.287851572161753,0.19777439990030202,0.11172035906552856,0.18617454848809967,0.42078384116600676,43,2024-08-13
44 days,251.88485059961516,15.870880586773223,11.388609110138766,0.2012817486964499,0.11172035906552856,0.18819547761149993,0.42747656775930815,44,2024-08-14
45 days,259.33693021675896,16.103941449743257,11.577927975707777,0.20445592088415873,0.1143545696270037,0.19146781232132976,0.43434182590233544,45,2024-08-15
46 days,263.26935901976526,16.22557730929058,11.712222705275991,0.20233313627791344,0.11671784818416893,0.19272633149113258,0.4319002123142251,46,2024-08-16
47 days,256.76444494862653,16.023871097479116,11.546328393112523,0.1958565337054827,0.11544783732069043,0.1890470679383229,0.4437367303609342,47,2024-08-17
48 days,256.63131495742823,16.019716444351573,11.532646618177736,0.1950987197661519,0.1143545696270037,0.18949420339471398,0.45010615711252655,48,2024-08-18
49 days,263.3053730802982,16.226687064225345,11.721168179060793,0.19736880777817134,0.1143545696270037,0.19364316139078877,0.4488853503184714,49,2024-08-19
